date|code|pre_js|open|high|low|close|cur_js|zd_one|zd_two|cj_volume|cc_volume|zj_volume|cj_amount|DELTA|yhbdl|xql
2023-10-20|SA405C1380|316.50    |0.00      |0.00      |0.00      |0.00      |291.00    |-25.50    |-25.50    |0         |0         |0         |0.00        |0.8152    |30.55     |0                              
2023-10-20|SA405C1400|302.00    |0.00      |0.00      |0.00      |0.00      |274.00    |-28.00    |-28.00    |0         |0         |0         |0.00        |0.8008    |29.74     |0                              
2023-10-20|SA405C1420|288.00    |0.00      |0.00      |0.00      |0.00      |257.50    |-30.50    |-30.50    |0         |0         |0         |0.00        |0.7842    |29.15     |0                              
2023-10-20|SA405C1440|275.50    |0.00      |0.00      |0.00      |0.00      |242.00    |-33.50    |-33.50    |0         |0         |0         |0.00        |0.7654    |28.83     |0                              
2023-10-20|SA405C1460|262.50    |0.00      |0.00      |0.00      |0.00      |227.50    |-35.00    |-35.00    |0         |0         |0         |0.00        |0.7447    |28.69     |0                              
2023-10-20|SA405C1480|250.00    |211.00    |211.00    |211.00    |211.00    |214.50    |-39.00    |-35.50    |1         |1         |1         |0.42        |0.7221    |28.62     |0                              
2023-10-20|SA405C1500|238.00    |0.00      |0.00      |0.00      |0.00      |201.00    |-37.00    |-37.00    |0         |0         |0         |0.00        |0.6994    |28.58     |0                              
2023-10-20|SA405C1520|226.50    |263.00    |263.00    |193.50    |193.50    |188.50    |-33.00    |-38.00    |3         |3         |3         |1.31        |0.6761    |28.56     |0                              
2023-10-20|SA405C1540|215.50    |0.00      |0.00      |0.00      |0.00      |177.00    |-38.50    |-38.50    |0         |0         |0         |0.00        |0.6518    |28.54     |0                              
2023-10-20|SA405C1560|204.00    |159.50    |159.50    |159.50    |159.50    |165.50    |-44.50    |-38.50    |2         |2         |2         |0.64        |0.6276    |28.53     |0                              
2023-10-20|SA405C1580|194.00    |0.00      |0.00      |0.00      |0.00      |154.50    |-39.50    |-39.50    |0         |0         |0         |0.00        |0.6032    |28.52     |0                              
2023-10-20|SA405C1600|184.50    |0.00      |0.00      |0.00      |0.00      |144.50    |-40.00    |-40.00    |0         |0         |0         |0.00        |0.5785    |28.51     |0                              
2023-10-20|SA405C1620|174.50    |129.00    |129.00    |129.00    |129.00    |134.50    |-45.50    |-40.00    |2         |2         |2         |0.52        |0.5538    |28.50     |0                              
2023-10-20|SA405C1640|165.00    |120.00    |121.50    |120.00    |121.50    |125.00    |-43.50    |-40.00    |7         |7         |7         |1.69        |0.5292    |28.50     |0                              
2023-10-20|SA405C1660|156.50    |0.00      |0.00      |0.00      |0.00      |116.50    |-40.00    |-40.00    |0         |0         |0         |0.00        |0.5050    |28.49     |0                              
2023-10-20|SA405C1680|148.00    |0.00      |0.00      |0.00      |0.00      |108.50    |-39.50    |-39.50    |0         |0         |0         |0.00        |0.4808    |28.49     |0                              
