date|code|pre_js|open|high|low|close|cur_js|zd_one|zd_two|cj_volume|cc_volume|zj_volume|cj_amount|DELTA|yhbdl|xql
2023-10-20|SA401C1460|275.00    |0.00      |0.00      |0.00      |0.00      |265.00    |-10.00    |-10.00    |0         |0         |0         |0.00        |0.9255    |30.67     |0                              
2023-10-20|SA401C1480|258.00    |0.00      |0.00      |0.00      |0.00      |247.50    |-10.50    |-10.50    |0         |0         |0         |0.00        |0.9075    |30.57     |0                              
2023-10-20|SA401C1500|241.50    |257.00    |257.00    |207.00    |230.00    |229.50    |-11.50    |-12.00    |19        |1         |1         |8.63        |0.8879    |30.48     |0                              
2023-10-20|SA401C1520|225.50    |200.00    |200.00    |200.00    |200.00    |212.50    |-25.50    |-13.00    |1         |1         |1         |0.40        |0.8651    |30.41     |0                              
2023-10-20|SA401C1540|209.50    |0.00      |0.00      |0.00      |0.00      |196.00    |-13.50    |-13.50    |0         |0         |0         |0.00        |0.8396    |30.36     |0                              
2023-10-20|SA401C1560|195.00    |0.00      |0.00      |0.00      |0.00      |180.00    |-15.00    |-15.00    |0         |0         |0         |0.00        |0.8118    |30.32     |0                              
2023-10-20|SA401C1580|180.50    |0.00      |0.00      |0.00      |0.00      |165.00    |-15.50    |-15.50    |0         |0         |0         |0.00        |0.7806    |30.31     |0                              
2023-10-20|SA401C1600|167.00    |0.00      |0.00      |0.00      |0.00      |150.00    |-17.00    |-17.00    |0         |0         |0         |0.00        |0.7481    |30.31     |0                              
2023-10-20|SA401C1620|153.50    |0.00      |0.00      |0.00      |0.00      |136.50    |-17.00    |-17.00    |0         |0         |0         |0.00        |0.7123    |30.32     |0                              
2023-10-20|SA401C1640|141.00    |136.50    |136.50    |116.00    |116.00    |123.50    |-25.00    |-17.50    |22        |22        |22        |5.36        |0.6760    |30.35     |0                              
2023-10-20|SA401C1660|129.50    |118.00    |121.00    |106.50    |106.50    |111.50    |-23.00    |-18.00    |33        |23        |23        |7.61        |0.6372    |30.40     |0                              
2023-10-20|SA401C1680|118.00    |110.50    |110.50    |92.00     |92.00     |100.00    |-26.00    |-18.00    |14        |12        |12        |2.70        |0.5985    |30.47     |0                              
2023-10-20|SA401C1700|108.00    |104.00    |104.00    |81.50     |91.50     |90.00     |-16.50    |-18.00    |514       |362       |362       |98.72       |0.5589    |30.55     |0                              
2023-10-20|SA401C1720|97.50     |100.00    |108.50    |72.50     |75.00     |80.00     |-22.50    |-17.50    |1463     |914       |914       |252.67      |0.5195    |30.64     |0                              
2023-10-20|SA401C1740|89.00     |78.50     |82.50     |66.00     |67.50     |71.50     |-21.50    |-17.50    |212       |125       |125       |31.41       |0.4808    |30.75     |0                              
2023-10-20|SA401C1760|80.00     |69.50     |70.50     |58.00     |58.00     |63.00     |-22.00    |-17.00    |377       |318       |318       |47.41       |0.4425    |30.87     |0                              
2023-10-20|SA401C1780|72.00     |64.50     |64.50     |51.00     |51.00     |56.00     |-21.00    |-16.00    |40        |20        |20        |4.53        |0.4065    |31.01     |0                              
2023-10-20|SA401C1800|65.00     |60.50     |74.00     |44.00     |45.50     |49.50     |-19.50    |-15.50    |1696     |777       |777       |173.76      |0.3709    |31.16     |0                              
2023-10-20|SA401C1820|58.00     |52.00     |52.00     |40.00     |40.00     |44.00     |-18.00    |-14.00    |88        |56        |56        |7.46        |0.3382    |31.32     |0                              
2023-10-20|SA401C1840|52.00     |50.50     |50.50     |34.00     |35.00     |38.50     |-17.00    |-13.50    |260       |157       |157       |20.83       |0.3065    |31.49     |0                              
2023-10-20|SA401C1860|46.50     |40.00     |40.00     |29.50     |30.00     |34.00     |-16.50    |-12.50    |329       |288       |288       |20.09       |0.2775    |31.67     |0                              
2023-10-20|SA401C1880|41.00     |32.00     |32.00     |26.50     |27.50     |30.00     |-13.50    |-11.00    |114       |31        |31        |6.59        |0.2505    |31.86     |0                              
2023-10-20|SA401C1900|36.50     |25.00     |43.50     |22.50     |24.50     |26.00     |-12.00    |-10.50    |657       |329       |329       |35.64       |0.2246    |32.05     |0                              
2023-10-20|SA401C1920|32.50     |27.00     |27.00     |20.50     |21.00     |23.00     |-11.50    |-9.50     |263       |167       |167       |12.32       |0.2027    |32.26     |0                              
2023-10-20|SA401C1940|28.50     |22.00     |23.00     |17.50     |17.50     |20.00     |-11.00    |-8.50     |43        |31        |31        |1.75        |0.1811    |32.47     |0                              
2023-10-20|SA401C1960|25.50     |26.00     |26.00     |15.50     |16.00     |17.50     |-9.50     |-8.00     |184       |118       |118       |6.67        |0.1622    |32.69     |0                              
2023-10-20|SA401C1980|22.00     |18.00     |20.00     |13.00     |14.00     |15.50     |-8.00     |-6.50     |600       |331       |331       |18.50       |0.1454    |32.92     |0                              
2023-10-20|SA401C2000|19.50     |16.50     |17.50     |12.00     |13.50     |13.50     |-6.00     |-6.00     |4490     |2905     |2905     |134.70      |0.1289    |33.15     |0                              
